"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Vox","Unidas Podemos","Cs","ERC–Sobiranistes","Más País","JxCat","PNV","EH Bildu","CUP","CC–NCa","BNG","NA+","PRC","headline","source"
"1","SocioMétrica/El Español","SocioMétrica","El Español",1100,"26–29 May 2021",2021-05-29,2023-12-10,925,"",1.1,25.4,26.5,16.9,9.3,3.1,3.6,4,2.6,1.7,1.2,0.9,0.4,0.5,0.4,0.2,"El PP sobrepasa por primera vez al PSOE justo cuando Sánchez cumple tres años en el Gobierno","https://www.elespanol.com/espana/politica/20210530/pp-sobrepasa-primera-psoe-sanchez-cumple-gobierno/584942067_0.html"
"2","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1272,"23–28 May 2021",2021-05-28,2023-12-10,926,"",2.5,25.4,27.9,16.7,10.7,3,3.5,3.5,2.3,1.7,1.1,0.9,0.5,0.6,0.4,0.3,"ElectoPanel (30M): subida de PP y Vox, que junto a Foro suman 176 escaños","https://electomania.es/ep30my21/"
"3","DYM/Henneo","DYM","Henneo",1008,"21–24 May 2021",2021-05-24,2023-12-10,930,"",3.6,24.5,28.1,16,9.3,3.4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"El PP supera por primera vez al PSOE y sumaría mayoría con Vox","https://www.20minutos.es/noticia/4708680/0/pp-supera-primera-vez-psoe-sumaria-mayoria-vox/"
"4","NC Report/La Razón","NC Report","La Razón",1000,"17–22 May 2021",2021-05-22,2023-12-10,932,"64.2",4.2,25.8,30,14.9,9.2,2.9,3.3,3.9,2.3,1.6,1.2,NA,NA,NA,0.4,NA,"El PSOE pierde entre 18 y 20 escaños y baja 2,2 puntos","https://www.larazon.es/espana/20210523/32idgogylngzheveh2msxqwzzq.html"
"5","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1582,"17–22 May 2021",2021-05-22,2023-12-10,932,"",2.1,25.2,27.3,16.4,11,2.9,3.5,3.3,2.4,1.7,1.2,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 22M: caída del PSOE que baja de los 100 escaños. Subida de PP y Vox. Absoluta para la derecha","https://electomania.es/ep22my21/"
"6","Invymark/laSexta","Invymark","laSexta",NA,"17–21 May 2021",2021-05-21,2023-12-10,933,"",0.3,26.9,27.2,18.4,8.2,1.4,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PP repite como primera opción en intención de voto con el 27,2%","https://www.lasexta.com/noticias/nacional/barometro-lasexta-vuelve-ser-segunda-oleada-consecutiva-primera-opcion-intencion-voto-272_2021052360aa4acfcd5e690001ba8f4e.html"
"7","KeyData/Público","KeyData","Público",NA,"20 May 2021",2021-05-20,2023-12-10,934,"68.9",0.8,26.2,27,16.4,10.2,3.5,3.5,3.3,2.2,1.5,1.2,1,0.5,NA,NA,NA,"El PP supera al PSOE aupado por el efecto Ayuso, pero tendría muy difícil formar Gobierno, según las encuestas","https://www.publico.es/politica/encuestas-electorales-pp-supera-psoe-aupado-efecto-ayuso-tendria-dificil-formar-gobierno-encuestas.html"
"8","GAD3/ABC","GAD3","ABC",1202,"12–18 May 2021",2021-05-18,2023-12-10,936,"",5.1,25.4,30.5,13.8,8.3,3.3,3,4.1,2.4,1.8,1.2,1,0.4,0.7,0.4,0.2,"El PP se dispara hasta los 138 escaños y suma mayoría absoluta con Vox","https://www.abc.es/espana/abci-pp-dispara-hasta-138-escanos-y-suma-mayoria-absoluta-202105230219_noticia.html"
"9","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"17 May 2021",2021-05-17,2023-12-10,937,"",4.7,26,30.7,15.7,10,3.1,3,4,2,1.9,NA,NA,NA,NA,NA,NA,"Encuesta elecciones generales: El PP ganaría y Pablo Casado arrebataría la Moncloa a Pedro Sánchez con el apoyo de Vox","https://www.antena3.com/noticias/espana/encuesta-ganaria-elecciones-generales-pablo-casado-arrebataria-moncloa-pedro-sanchez-apoyo-vox_2021051760a1fbe7f0676400010be1ed.html"
"10","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1930,"10–15 May 2021",2021-05-15,2023-12-10,939,"",0.5,26.4,26.9,15.8,10.9,2.9,3.5,2.9,2.4,1.7,1.2,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 16M: el PP, primera fuerza, sorpassa en votos y escaños al PSOE","https://electomania.es/ep16my21/"
"11","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"10–14 May 2021",2021-05-14,2023-12-10,940,"64.5",2.1,26,28.1,16.2,9.6,2.5,3.2,6,2,1.3,1.1,0.9,0.4,0.6,0.4,0.3,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Mayo de 2021","https://www.celeste-tel.es/wp-content/uploads/2021/05/Bar%C3%B3metro-Electoral-Mensual-Mayo2021.pdf"
"12","CIS","CIS",NA,3814,"4–13 May 2021",2021-05-13,2023-12-10,941,"",4.5,27.9,23.4,13.7,10.4,5.3,3,3.8,1.6,1.1,1.1,0.6,0.3,0.5,0.4,0.2,"Barómetro de mayo 2021 (Estudio nº 3322. Mayo 2021)","http://datos.cis.es/pdf/Es3322marMT_A.pdf"
"13","Simple Lógica","Simple Lógica",NA,1063,"4–12 May 2021",2021-05-12,2023-12-10,942,"65.5",0.2,26,26.2,15.9,8.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (mayo 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-mayo-2021/"
"14","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"10–11 May 2021",2021-05-11,2023-12-10,943,"",1.8,25.5,27.3,17.9,9,2.3,3.1,5.9,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.2,"El 'ciclón' Ayuso dispara al PP por encima del PSOE y le otorga la mayoría absoluta con Vox","https://okdiario.com/espana/ciclon-ayuso-dispara-pp-encima-del-psoe-otorga-mayoria-absoluta-vox-7221232"
"15","NC Report/La Razón","NC Report","La Razón",1000,"4–8 May 2021",2021-05-08,2023-12-10,946,"64.4",0.8,26.1,26.9,17.1,9.9,2.8,3.4,3.7,2.3,1.5,1.3,NA,NA,NA,0.4,NA,"Encuesta NC REPORT: Primer «sorpasso» de Casado a Sánchez","https://www.larazon.es/espana/20210510/jarm5wjkzvantfw42df5eej67q.html"
"16","Invymark/laSexta","Invymark","laSexta",NA,"5–7 May 2021",2021-05-07,2023-12-10,947,"",0.6,26.7,27.3,18.9,7.9,1.2,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PP se coloca como primera opción en intención de voto por primera vez desde 2018 con el 27,3%","https://www.lasexta.com/noticias/nacional/barometro-lasexta-coloca-como-primera-opcion-intencion-voto-primera-vez-2018-273_2021050860967e9d29c3320001d8dabf.html"
"17","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1000,"5–6 May 2021",2021-05-06,2023-12-10,948,"",4.5,25.7,30.2,15.2,13,3.6,3.1,2,2,1.9,NA,NA,NA,NA,NA,NA,"Ayuso desata un vuelco electoral en España que hunde a Sánchez","https://phantom-elmundo.unidadeditorial.es/4966891d3bf76f2017c0fa736ecee865/resize/473/f/webp/assets/multimedia/imagenes/2021/05/09/16205947132851.png"
"18","Demoscopia y Servicios/ESdiario","Demoscopia y Servicios","ESdiario",1000,"5–6 May 2021",2021-05-06,2023-12-10,948,"",0.6,25.3,25.9,16.9,10.3,2.3,3.4,5.1,2.7,1.6,1.3,1,0.4,0.6,0.4,0.3,"Casado adelanta a Sánchez y alcanza la mayoría absoluta con Vox y Navarra Suma","https://www.esdiario.com/espana/332803556/Casado-adelanta-a-Sanchez-y-alcanza-la-mayoria-absoluta-con-Vox-y-Navarra-Suma.html"
"19","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1825,"4–6 May 2021",2021-05-06,2023-12-10,948,"",1.1,26.9,25.8,16.6,11.4,3.2,3.5,2.1,2.5,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"EP 6M: Subida de Casado, que roza la Moncloa. Peligra el escaño de Arrimadas. Ayuso ganaría y dejaría casi sin opciones a la izquierda","https://electomania.es/ep6m21/"
"20","ElectoPanel/Electomanía","ElectoPanel","Electomanía",4320,"24 Apr–2 May 2021",2021-05-02,2023-12-10,952,"",3.1,27.1,24,16.9,12.3,4,3.6,1.7,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel Generales (2M – TODO EN ABIERTO): pocos cambios antes del 4M madrileño","https://electomania.es/epgenerales3m21/"
"21","ElectoPanel/Electomanía","ElectoPanel","Electomanía",3125,"18–24 Apr 2021",2021-04-24,2023-12-10,960,"",3.1,27,23.9,16.9,12.5,4,3.6,1.6,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel (25A): subida de la izquierda","https://electomania.es/ep25a21/"
"22","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2450,"10–17 Apr 2021",2021-04-17,2023-12-10,967,"",2.4,26.6,24.2,17.2,12.4,3.8,3.6,1.7,2.4,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel (18A): subida de PSOE y Vox, baja UP","https://electomania.es/epgenerales18a21/"
"23","GAD3/NIUS","GAD3","NIUS",1001,"14–16 Apr 2021",2021-04-16,2023-12-10,968,"63",1.7,28.7,27,14.5,9.2,4.5,3.2,2.3,2,1.9,1.1,0.8,0.4,0.6,0.4,0.2,"Podemos sufre todo el desgaste del Gobierno de coalición y PP y Vox suben","https://www.niusdiario.es/nacional/politica/encuesta-barometro-sociopolitico-gad-tres-intencion-voto-psoe-ganaria-elecciones-pp-recorda-distancias_18_3124020007.html"
"24","Invymark/laSexta","Invymark","laSexta",NA,"12–16 Apr 2021",2021-04-16,2023-12-10,968,"",3.5,28,24.5,18.3,9.3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE ganaría las elecciones con un 28% de los votos","https://www.lasexta.com/noticias/nacional/barometro-lasexta-psoe-ganaria-elecciones-28-votos_20210418607c233cc8fbb500018b1544.html"
"25","CIS","CIS",NA,3823,"5–14 Apr 2021",2021-04-14,2023-12-10,970,"",10.9,31.5,20.6,15.4,10.7,6.7,2.8,1.9,1.5,1.5,0.9,0.6,0.3,0.5,0.4,NA,"Barómetro de abril 2021 (Estudio nº 3318. Abril 2021)","http://datos.cis.es/pdf/Es3318marMT_A.pdf"
"26","Simple Lógica","Simple Lógica",NA,1053,"5–13 Apr 2021",2021-04-13,2023-12-10,971,"65.6",5,27.9,22.9,17.6,11.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (abril 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-abril-2021/"
"27","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2300,"2–9 Apr 2021",2021-04-09,2023-12-10,975,"",2.1,26.2,24.1,17,12.8,3.9,3.6,1.7,2.4,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 11A: Vox sube, el PP baja de los 100 escaños, ERC da un bocado a Junts y CpM entraría en el Congreso","https://electomania.es/ep11a21/"
"28","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2000,"26 Mar–2 Apr 2021",2021-04-02,2023-12-10,982,"",2.4,26.5,24.1,16.8,13,3.7,3.6,1.7,2.5,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 4A: Vox recupera los 60 escaños. UP baja, Cs sube","https://electomania.es/ep4a21/"
"29","NC Report/La Razón","NC Report","La Razón",1000,"26–31 Mar 2021",2021-03-31,2023-12-10,984,"63.1",1.8,26.6,24.8,17.4,11.5,4,3.3,2.5,2.2,1.5,1.3,NA,NA,NA,NA,NA,"El «efecto Ayuso» coloca al PP a 1,8 puntos de Sánchez","https://www.larazon.es/espana/20210405/usfrjtbsgnbapgs5qgz54p7ppq.html"
"30","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2000,"22–26 Mar 2021",2021-03-26,2023-12-10,989,"",1.9,26.4,24.5,16.6,13.4,3.2,3.5,1.7,2.6,1.6,1.3,0.9,0.5,0.5,0.4,0.3,"ElectoPanel (28M): la distancia entre PP y PSOE, en 2p. Ligera bajada de UP y subida de Cs","https://electomania.es/ep28m21/"
"31","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2513,"16–20 Mar 2021",2021-03-20,2023-12-10,995,"",1.7,26.2,24.5,16.7,13.7,2.8,3.6,1.7,2.6,1.6,1.3,0.9,0.5,0.5,0.4,0.3,"ElectoPanel (21M): Yolanda Díaz sube y roza los 40 escaños","https://electomania.es/ep21m21/"
"32","Invymark/laSexta","Invymark","laSexta",NA,"15–19 Mar 2021",2021-03-19,2023-12-10,996,"",4.5,28.4,23.9,18.6,9.8,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE ganaría las elecciones con un 28,4% de los votos","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-con-un-284-de-los-votos_20210321605746a2f992530001f6d042.html"
"33","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2400,"15 Mar 2021",2021-03-15,2023-12-10,1000,"",1.6,26.2,24.6,16.6,13.4,2.4,3.6,1.8,2.5,1.6,1.4,1.1,0.5,0.7,0.4,0.3,"ElectoPanel (16M): Yolanda Díaz mejoraría en votos y escaños los resultados de Iglesias en 2019 y cambia por completo el tablero político nacional","https://electomania.es/ep16m21/"
"34","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2576,"12–13 Mar 2021",2021-03-13,2023-12-10,1002,"",6.9,29.9,23,18.1,9.9,2.5,3.6,1.9,2.5,1.6,1.4,1,0.5,0.7,0.4,0.3,"ElectoPanel 14M: Cs al borde de la desaparición, caería hasta el 2,5% y solo conservaría el escaño de Arrimadas","https://electomania.es/ep14m21/"
"35","CIS","CIS",NA,3820,"1–11 Mar 2021",2021-03-11,2023-12-10,1004,"",13.4,31.3,17.9,15,9.6,9.5,3.2,2,1.5,1.7,1,0.8,0.2,0.6,0.4,NA,"Barómetro de marzo 2021 (Estudio nº 3313. Marzo 2021)","http://datos.cis.es/pdf/Es3313marMT_A.pdf"
"36","Simple Lógica","Simple Lógica",NA,1023,"1–9 Mar 2021",2021-03-09,2023-12-10,1006,"64.6",8.6,27.1,17.5,18.5,11,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (marzo 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-marzo-2021/"
"37","Invymark/laSexta","Invymark","laSexta",NA,"1–5 Mar 2021",2021-03-05,2023-12-10,1010,"",3.6,26.8,23.2,17.4,10.3,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE ganaría las elecciones con un 28,4% de los votos","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-con-un-284-de-los-votos_20210321605746a2f992530001f6d042.html"
"38","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1406,"28 Feb–5 Mar 2021",2021-03-05,2023-12-10,1010,"",7.3,28.5,21.2,18.9,10.5,4.9,3.4,1.8,2.4,1.4,1.3,0.9,0.5,0.7,0.4,0.3,"ElectoPanel (7M): Ciudadanos cae por debajo del 5% de voto","https://electomania.es/ep7m21/"
"39","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1096,"1–3 Mar 2021",2021-03-03,2023-12-10,1012,"",4.3,27.2,22.9,17.4,11.7,5.4,3.2,0.9,2,2.1,NA,NA,NA,NA,NA,NA,"Vox sube mientras el 40% de los votantes del PP reprueba la línea de Pablo Casado","https://www.elmundo.es/espana/2021/03/07/60453017fdddff908d8b4649.html"
"40","KeyData/Público","KeyData","Público",NA,"1 Mar 2021",2021-03-01,2023-12-10,1014,"68.5",6.5,27.8,21.3,17.7,11.1,5.7,3.6,1.6,2.2,1.5,1.2,1,0.5,NA,NA,NA,"El Gobierno de coalición se refuerza y la derecha se radicaliza tras las elecciones catalanas, según los sondeos","https://www.publico.es/politica/encuestas-electorales-gobierno-coalicion-refuerza-derecha-radicaliza-elecciones-catalanas-sondeos.html"
"41","NC Report/La Razón","NC Report","La Razón",1000,"24–28 Feb 2021",2021-02-28,2023-12-10,1015,"63.3",3.7,27.4,23.7,18,10.9,4.3,3.3,NA,2.2,1.5,1.3,NA,NA,NA,NA,NA,"Derecha: un millón de votos más que en el 96 pero sin poder gobernar","https://www.larazon.es/espana/20210228/eim57wiyjbaw5pd3svlc22f3yy.html"
"42","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1406,"20–27 Feb 2021",2021-02-27,2023-12-10,1016,"",8.2,29,20.8,19,10.5,5,3.4,1.7,2.5,1.3,1.4,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (27F): Vox en máximo histórico en voto y escaños, se alza a menos de 2p del PP","https://electomania.es/ep27f21/"
"43","GAD3/NIUS","GAD3","NIUS",1000,"22–25 Feb 2021",2021-02-25,2023-12-10,1018,"62",6.4,28.6,22.2,17.1,10.1,5.9,3.7,1.5,2.2,1.7,1.2,1.1,0.4,0.6,0.4,0.2,"Podemos sufre todo el desgaste del Gobierno de coalición y PP y Vox suben","https://www.niusdiario.es/nacional/politica/barometro-niusdiario-gad3-podemos-desgaste-gobierno-coalicion-pp-vox-suben_18_3097770327.html"
"44","DYM/Henneo","DYM","Henneo",1002,"19–23 Feb 2021",2021-02-23,2023-12-10,1020,"",5.8,25.4,19.6,18.1,12.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El resultado de las catalanas debilita al PP y la izquierda recupera espacio pese al alza de Vox","https://www.20minutos.es/noticia/4599843/0/el-batacazo-de-las-catalanas-debilita-al-pp-y-la-izquierda-recupera-espacio-pese-al-alza-de-vox/"
"45","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"17–23 Feb 2021",2021-02-23,2023-12-10,1020,"64.4",6,28.3,22.3,18.2,10.1,4.6,3.6,2.6,2.1,1.6,1.2,1.1,0.5,0.7,0.4,0.3,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Febrero 2021","https://www.celeste-tel.es/wp-content/uploads/2021/02/Bar%C3%B3metro-Electoral-Mensual-Febrero2021.pdf"
"46","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"19–22 Feb 2021",2021-02-22,2023-12-10,1021,"",6.6,28.7,22.1,19.1,9.9,3.1,3.4,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"Cataluña dispara a Vox: sube 12 escaños al absorber voto de Cs y se acerca al PP que gana 4 escaños","https://okdiario.com/espana/cataluna-dispara-vox-sube-12-escanos-absorber-voto-cs-acerca-pp-que-gana-4-escanos-6867824"
"47","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1406,"17–20 Feb 2021",2021-02-20,2023-12-10,1023,"",8.5,29.4,20.9,18.4,10,5.6,3.4,1.7,2.4,1.3,1.4,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (21F): Vox supera el 18% y se sitúa en el límite del empate técnico con el PP","https://electomania.es/ep21f21/"
"48","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1145,"15–17 Feb 2021",2021-02-17,2023-12-10,1026,"",4.2,27.6,23.4,15.6,11.9,6.3,3.2,0.9,2.2,2,NA,NA,NA,NA,NA,NA,"Vox recorta terreno al PP tras el 14-F pero sigue a ocho puntos","https://www.elmundo.es/espana/2021/02/22/6032bced21efa06c658b45f2.html"
"49","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1240,"14–16 Feb 2021",2021-02-16,2023-12-10,1027,"",7.4,29,21.6,17.9,10.2,5.6,3.4,1.7,2.4,1.3,1.4,0.8,0.5,0.7,0.4,0.3,"ElectoPanel Especial (16F): TERREMOTO ELECTORAL tras Cataluña","https://electomania.es/ep16f21/"
"50","ElectoPanel/Electomanía","ElectoPanel","Electomanía",2530,"6–12 Feb 2021",2021-02-12,2023-12-10,1031,"",4.4,27.3,22.9,15.8,10.7,7.5,3.3,1.7,2.4,1.5,1.4,0.8,0.5,0.7,0.4,0.3,"ElectoPanel 13F: bajada del PP, subida de Vox","https://electomania.es/ep13f21/"
"51","CIS","CIS",NA,3869,"3–11 Feb 2021",2021-02-11,2023-12-10,1032,"",11.9,30.7,18.8,13.6,11.2,9.3,3.5,1.7,1.3,1.5,0.8,0.9,0.4,0.7,0.4,0.2,"Barómetro de febrero 2021 (Estudio nº 3309. Febrero 2021)","http://datos.cis.es/pdf/Es3309marMT_A.pdf"
"52","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1814,"30 Jan–6 Feb 2021",2021-02-06,2023-12-10,1037,"",3.7,27.2,23.5,15.2,10.8,7.4,3.4,1.8,2.3,1.5,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (7F): el PSOE sube ligeramente. Vox por debajo de los 50 escaños y rozando el 15%","https://electomania.es/ep7f21/"
"53","Simple Lógica","Simple Lógica",NA,1054,"1–5 Feb 2021",2021-02-05,2023-12-10,1038,"62.0",10,28.8,18.8,16.9,10.3,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (febrero 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-febrero-2021/"
"54","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1493,"22–29 Jan 2021",2021-01-29,2023-12-10,1045,"",3.6,27,23.4,15.4,11,7.3,3.4,1.8,2.3,1.5,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (30E): situación estable, con el PP duplicando a Vox en escaños","https://electomania.es/ep30e21/"
"55","CIS","CIS",NA,3862,"7–25 Jan 2021",2021-01-25,2023-12-10,1049,"",10.2,30.7,20.5,13,10.7,9.3,2.9,1.5,1.5,1.6,0.9,0.6,0.5,0.5,0.6,0.3,"Barómetro de enero 2021 (Estudio nº 3307. Enero 2021)","http://datos.cis.es/pdf/Es3307marMT_A.pdf"
"56","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1470,"18–22 Jan 2021",2021-01-22,2023-12-10,1052,"",3.9,27.1,23.2,15.6,11,7.3,3.4,1.7,2.3,1.5,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (24E): bajada de la izquierda, que se deja varios escaños","https://electomania.es/ep24e21/"
"57","Invymark/laSexta","Invymark","laSexta",NA,"18–22 Jan 2021",2021-01-22,2023-12-10,1052,"",3.8,27,23.2,16.9,10.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PSOE obtendría el 27% de los votos seguido del PP (23%)","https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-obtendria-el-27-de-los-votos-seguido-del-pp-23_20210124600d73f2ce4427000169c7c3.html"
"58","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"11–15 Jan 2021",2021-01-15,2023-12-10,1059,"64.7",3.3,27,23.7,14.8,11.8,6.7,3.9,2.5,2.2,1.6,1.2,1,0.5,0.9,0.4,0.3,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Enero 2021","https://www.celeste-tel.es/wp-content/uploads/2021/01/Bar%C3%B3metro-Electoral-Mensual-Enero2021.pdf"
"59","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1382,"11–15 Jan 2021",2021-01-15,2023-12-10,1059,"",4.1,27.2,23.1,15.8,11.1,7.1,3.3,1.7,2.3,1.5,1.3,0.8,0.5,0.7,0.4,0.3,"ElectoPanel (17E): Vox continúa a la baja y marca su peor dato desde agosto. Cs en el 7%","https://electomania.es/ep17e21/"
"60","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"12–14 Jan 2021",2021-01-14,2023-12-10,1060,"",2,26.4,24.4,15.6,12.5,5.2,3.8,NA,NA,NA,NA,NA,NA,NA,0.4,NA,"El PP sube a 105 escaños y se queda a sólo 4 del PSOE, Vox crece a 55 y Podemos y Cs siguen cayendo","https://okdiario.com/espana/pp-sube-105-escanos-queda-solo-4-del-psoe-vox-crece-55-podemos-cs-siguen-cayendo-6704995"
"61","Simple Lógica","Simple Lógica",NA,1045,"4–13 Jan 2021",2021-01-13,2023-12-10,1061,"66.3",5.2,26.3,21.1,15.2,10.7,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (enero 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-enero-2021/"
"62","SyM Consulting","SyM Consulting",NA,2915,"7–10 Jan 2021",2021-01-10,2023-12-10,1064,"70.0",2.1,26.7,24.6,14.2,9.6,6.6,3.7,NA,2,1.6,1.1,NA,NA,NA,NA,NA,"Estimación generales Oleada Enero 2021","https://twitter.com/Barometrocm/status/1350135779260059650"
"63","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1562,"3–9 Jan 2021",2021-01-09,2023-12-10,1065,"",4.4,27.2,22.8,16.1,11.2,6.9,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,0.4,0.3,"ElectoPanel (10E): situación estable, sin apenas diferencias","https://electomania.es/ep10e21/"
"64","SocioMétrica/El Español","SocioMétrica","El Español",1206,"28 Dec–5 Jan 2021",2021-01-05,2023-12-10,1069,"",3.8,26.7,22.9,16.7,10.5,6.7,3.4,2.5,2.7,1.8,1.3,NA,0.8,0.6,0.3,0.3,"Pedro Sánchez y Pablo Iglesias pierden 18 escaños en un año pero retendrían el poder con las minorías","https://www.elespanol.com/espana/20210107/pedro-sanchez-pablo-iglesias-pierden-retendrian-minorias/549196091_0.html"
"65","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1321,"28 Dec–2 Jan 2021",2021-01-02,2023-12-10,1072,"",4.3,27.3,23,16,11.2,6.8,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,0.4,0.3,"ElectoPanel (3E): Casado sigue subiendo a costa de Abascal","https://electomania.es/ep3e21/"
"66","NC Report/La Razón","NC Report","La Razón",1000,"18–30 Dec 2020",2020-12-30,2023-12-10,1075,"62.8",1.9,26.2,24.3,15.2,11.7,6.7,3.5,2.2,2.3,1.5,1.2,1,0.4,1,0.4,0.2,"PSOE y Podemos se enfrentan al virus de la abstención","https://www.larazon.es/espana/20210103/4qz6k6qy7fgxnnjgy2vzvfhzuq.html"
"67","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1144,"22–29 Dec 2020",2020-12-29,2023-12-10,1076,"",2.7,27.9,25.2,13.5,10.8,7.6,3.3,1,2.1,1.9,NA,NA,NA,NA,NA,NA,"Casado se sitúa a menos de tres puntos de Sánchez con Podemos en retroceso","https://www.elmundo.es/espana/2021/01/02/5ff0dc2e21efa0e9238b4582.html"
"68","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1413,"21–25 Dec 2020",2020-12-25,2023-12-10,1080,"",4.7,27.4,22.7,16.3,11.3,6.7,3.3,1.7,2.4,1.5,1.3,0.8,0.5,0.6,0.4,0.3,"ElectoPanel (27D): el bipartidismo supera el 50%","https://electomania.es/ep27d20/"
"69","KeyData/Público","KeyData","Público",NA,"24 Dec 2020",2020-12-24,2023-12-10,1081,"67.3",4.2,27,22.8,15.6,11.1,7.5,3.5,2.3,2.2,1.6,1.1,0.9,0.5,NA,NA,NA,"El bloque de investidura mantiene sus opciones para sostener un gobierno de izquierda pese al desgaste de PSOE y UP","https://www.publico.es/politica/bloque-investidura-mantiene-opciones-sostener-gobierno-izquierda-pese-desgaste-psoe-up.html"
